Id,Date,Transaction
1,01/05,+54.20
2,01/10,-23.45
3,01/15,-12.75
4,01/18,+30.50
5,01/20,+15.80
6,01/22,-9.60
7,01/25,+42.30
8,01/28,-17.90
9,02/03,-5.25
10,02/05,+19.75
11,02/07,-8.60
12,02/10,-13.40
13,02/12,+36.90
14,02/15,+8.25
15,02/18,-22.10
16,02/20,+11.70
17,02/23,+27.80
18,02/26,-14.60
19,03/01,+45.60
20,03/04,-20.30
21,03/08,-6.50
22,03/10,+14.20
23,03/12,-11.80
24,03/15,+33.75
25,03/18,+5.40
26,03/22,-18.90
27,03/25,-7.30
28,03/28,+25.15
29,03/30,+10.50
30,04/02,-14.20
31,04/05,-3.80
32,04/08,+21.60
33,04/10,-9.45
34,04/12,+38.25
35,04/15,-16.70
36,04/18,+12.90
37,04/22,+29.80
38,04/25,-13.60
39,04/28,-4.75
40,05/02,+17.40
41,05/05,+4.60
42,05/08,-25.80
43,05/10,+9.30
44,05/12,-7.40
45,05/15,+32.20
46,05/18,-2.10
47,05/22,+22.50
48,05/25,-10.80
49,05/28,+18.75
50,05/31,-16.30
